,putCall,symbol,description,exchangeName,bid,ask,last,mark,bidSize,askSize,bidAskSize,lastSize,highPrice,lowPrice,openPrice,closePrice,totalVolume,tradeTimeInLong,quoteTimeInLong,netChange,volatility,delta,gamma,theta,vega,rho,openInterest,timeValue,theoreticalOptionValue,theoreticalVolatility,strikePrice,expirationDate,daysToExpiration,expirationType,lastTradingDay,multiplier,settlementType,deliverableNote,percentChange,markChange,markPercentChange,intrinsicValue,extrinsicValue,optionRoot,exerciseType,high52Week,low52Week,pennyPilot,inTheMoney,mini,nonStandard
10,CALL,SPY   260127C00700000,SPY 01/27/2026 700.00 C,OPR,0.0,0.01,0.01,0.01,0,7166,0X7166,5,0.05,0.01,0.0,0.02,42755,1769548279284,1769548441781,-0.01,36.372,0.008,0.011,-0.005,0.001,0.0,23845,0.01,0.005,29.0,700.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-64.94,-0.01,-67.53,-4.51,4.52,SPY,A,3.81,0.01,True,False,False,False
11,CALL,SPY   260127C00701000,SPY 01/27/2026 701.00 C,OPR,0.0,0.01,0.01,0.01,0,1159,0X1159,1,0.03,0.01,0.0,0.01,6493,1769547358054,1769548495896,-0.0,43.19,0.007,0.008,-0.005,0.001,0.0,2536,0.01,0.005,29.0,701.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-0.0,-0.01,-62.96,-5.51,5.52,SPY,A,2.31,0.01,True,False,False,False
12,CALL,SPY   260127C00702000,SPY 01/27/2026 702.00 C,OPR,0.0,0.01,0.01,0.01,0,2931,0X2931,1,0.02,0.01,0.0,0.01,7949,1769547904513,1769548495844,-0.0,49.883,0.006,0.006,-0.005,0.001,0.0,3865,0.01,0.005,29.0,702.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-0.0,-0.01,-56.52,-6.51,6.52,SPY,A,1.92,0.01,True,False,False,False
13,PUT,SPY   260127P00690000,SPY 01/27/2026 690.00 P,OPR,0.0,0.01,0.02,0.01,0,338,0X338,1,0.28,0.01,0.0,0.57,81565,1769548362610,1769548499004,-0.55,41.801,-0.007,0.009,-0.005,0.001,0.0,17881,0.02,0.005,29.0,690.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-95.65,-0.57,-99.13,-5.49,5.51,SPY,A,14.0,0.01,True,False,False,False
14,PUT,SPY   260127P00691000,SPY 01/27/2026 691.00 P,OPR,0.0,0.01,0.01,0.01,0,339,0X339,2,0.39,0.01,0.0,0.77,71715,1769548084760,1769548499004,-0.76,34.845,-0.008,0.012,-0.005,0.001,0.0,11918,0.01,0.005,29.0,691.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-99.35,-0.76,-99.35,-4.49,4.5,SPY,A,14.55,0.01,True,False,False,False
15,PUT,SPY   260127P00692000,SPY 01/27/2026 692.00 P,OPR,0.0,0.01,0.01,0.01,0,701,0X701,1,0.62,0.01,0.0,1.03,151940,1769548467405,1769548370957,-1.02,27.741,-0.01,0.018,-0.005,0.001,0.0,19323,0.01,0.005,29.0,692.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-98.55,-1.03,-99.52,-3.49,3.5,SPY,A,15.46,0.01,True,False,False,False
16,PUT,SPY   260127P00693000,SPY 01/27/2026 693.00 P,OPR,0.0,0.01,0.01,0.01,0,3613,0X3613,10,0.85,0.01,0.0,1.52,301884,1769548491240,1769548481069,-1.51,20.43,-0.013,0.032,-0.005,0.002,0.0,18376,0.01,0.005,29.0,693.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-99.07,-1.52,-99.67,-2.49,2.5,SPY,A,16.24,0.01,True,False,False,False
17,PUT,SPY   260127P00694000,SPY 01/27/2026 694.00 P,OPR,0.01,0.02,0.01,0.02,13990,307,13990X307,1,1.27,0.01,0.0,2.02,541450,1769548499305,1769548499970,-2.01,15.523,-0.046,0.118,-0.015,0.005,0.0,6720,0.01,0.015,29.0,694.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-99.69,-2.0,-99.26,-1.49,1.5,SPY,A,17.14,0.01,True,False,False,False
18,PUT,SPY   260127P00695000,SPY 01/27/2026 695.00 P,OPR,0.01,0.02,0.02,0.02,5074,675,5074X675,100,1.85,0.01,0.0,2.64,879205,1769548499557,1769548499259,-2.62,5.687,-0.105,0.61,-0.015,0.01,0.0,3508,0.02,0.015,29.0,695.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-99.31,-2.62,-99.43,-0.49,0.51,SPY,A,18.33,0.01,True,False,False,False
19,PUT,SPY   260127P00696000,SPY 01/27/2026 696.00 P,OPR,0.31,0.84,0.4,0.57,150,150,150X150,66,2.61,0.15,0.0,3.4,722036,1769548488192,1769548491370,-3.0,6.605,-0.964,0.226,-0.121,0.004,0.0,1388,-0.11,0.631,29.0,696.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-88.26,-2.82,-83.08,0.51,-0.11,SPY,A,16.66,0.15,True,True,False,False
20,PUT,SPY   260127P00697000,SPY 01/27/2026 697.00 P,OPR,0.69,1.84,1.54,1.27,1,1,1X1,1,3.49,0.71,0.0,4.28,202277,1769548413583,1769548499510,-2.74,14.723,-0.982,0.057,-0.121,0.002,0.0,2255,0.03,1.631,29.0,697.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-63.95,-3.02,-70.48,1.51,0.03,SPY,A,19.53,0.71,True,True,False,False
21,PUT,SPY   260127P00698000,SPY 01/27/2026 698.00 P,OPR,1.71,3.98,2.63,2.85,1,1,1X1,1,4.44,1.6,0.0,5.27,28560,1769548189423,1769548499480,-2.64,22.216,-0.987,0.027,-0.121,0.002,0.0,184,0.12,2.631,29.0,698.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-50.09,-2.42,-46.02,2.51,0.12,SPY,A,20.14,1.6,True,True,False,False
22,PUT,SPY   260127P00699000,SPY 01/27/2026 699.00 P,OPR,2.25,4.98,3.52,3.62,1,1,1X1,15,5.38,2.55,0.0,6.27,9465,1769547621820,1769548499054,-2.75,29.395,-0.99,0.017,-0.121,0.001,0.0,195,0.01,3.631,29.0,699.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-43.86,-2.65,-42.34,3.51,0.01,SPY,A,16.5,2.55,True,True,False,False
23,PUT,SPY   260127P00700000,SPY 01/27/2026 700.00 P,OPR,3.25,5.98,4.65,4.62,1,1,1X1,3,6.25,3.53,0.0,7.27,4168,1769548242725,1769548499033,-2.62,36.372,-0.992,0.011,-0.121,0.001,0.0,85,0.14,4.631,29.0,700.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-36.04,-2.65,-36.52,4.51,0.14,SPY,A,18.36,3.53,True,True,False,False
24,PUT,SPY   260127P00701000,SPY 01/27/2026 701.00 P,OPR,4.25,6.98,5.44,5.62,1,1,1X1,1,7.34,4.48,0.0,8.27,741,1769547783018,1769548499042,-2.83,43.19,-0.993,0.008,-0.121,0.001,0.0,18,-0.07,5.631,29.0,701.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-34.22,-2.65,-32.1,5.51,-0.07,SPY,A,19.16,4.48,True,True,False,False
25,PUT,SPY   260127P00702000,SPY 01/27/2026 702.00 P,OPR,5.25,7.98,6.54,6.62,1,1,1X1,1,8.42,5.59,0.0,9.27,306,1769547679761,1769548499042,-2.73,49.883,-0.994,0.006,-0.121,0.001,0.0,14,0.03,6.631,29.0,702.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-29.45,-2.65,-28.64,6.51,0.03,SPY,A,11.5,5.59,True,True,False,False
26,CALL,SPY   260128C00690000,SPY 01/28/2026 690.00 C,OPR,5.97,6.04,6.04,6.01,52,52,52X52,20,7.1,4.92,0.0,4.59,2089,1769548469479,1769548499744,1.45,16.827,0.826,0.045,-0.476,0.089,0.011,3338,0.55,5.966,29.0,690.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,31.59,1.42,30.83,5.49,0.55,SPY,A,9.88,1.41,True,True,False,False
27,CALL,SPY   260128C00691000,SPY 01/28/2026 691.00 C,OPR,5.12,5.18,5.2,5.15,50,50,50X50,20,6.25,4.18,0.0,3.87,1003,1769548469479,1769548498437,1.33,16.313,0.785,0.053,-0.623,0.102,0.011,1426,0.71,5.113,29.0,691.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,34.35,1.28,33.01,4.49,0.71,SPY,A,9.02,1.13,True,True,False,False
28,CALL,SPY   260128C00692000,SPY 01/28/2026 692.00 C,OPR,4.31,4.37,4.32,4.34,52,52,52X52,2,5.39,3.45,0.0,3.2,3655,1769548499930,1769548500515,1.12,15.764,0.736,0.061,-0.805,0.114,0.011,2749,0.83,4.295,29.0,692.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,34.97,1.14,35.5,3.49,0.83,SPY,A,8.08,0.92,True,True,False,False
29,CALL,SPY   260128C00693000,SPY 01/28/2026 693.00 C,OPR,3.54,3.6,3.57,3.57,56,52,56X52,2,4.56,2.78,0.0,2.58,9826,1769548499930,1769548498442,0.99,15.2,0.677,0.069,-1.033,0.125,0.011,2092,1.08,3.523,29.0,693.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,38.33,0.99,38.23,2.49,1.08,SPY,A,7.38,0.75,True,True,False,False
30,CALL,SPY   260128C00694000,SPY 01/28/2026 694.00 C,OPR,2.84,2.89,2.89,2.87,52,50,52X50,4,3.79,2.19,0.0,2.07,23695,1769548471560,1769548499999,0.83,14.661,0.61,0.076,-1.321,0.134,0.01,3144,1.4,2.811,29.0,694.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,40.19,0.8,38.74,1.49,1.4,SPY,A,6.95,0.6,True,True,False,False
31,CALL,SPY   260128C00695000,SPY 01/28/2026 695.00 C,OPR,2.21,2.22,2.21,2.22,63,77,63X77,3,3.1,1.66,0.0,1.58,70600,1769548495226,1769548500041,0.64,14.031,0.534,0.082,-1.665,0.139,0.009,3142,1.72,2.155,29.0,695.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,40.63,0.64,40.63,0.49,1.72,SPY,A,6.37,0.47,True,True,False,False
32,CALL,SPY   260128C00696000,SPY 01/28/2026 696.00 C,OPR,1.64,1.65,1.65,1.65,142,89,142X89,1,2.43,1.21,0.0,1.16,102354,1769548498865,1769548499992,0.49,13.886,0.452,0.082,-1.645,0.138,0.008,1879,1.65,1.645,29.0,696.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,42.42,0.49,42.42,-0.51,2.16,SPY,A,5.68,0.37,True,False,False,False
33,CALL,SPY   260128C00697000,SPY 01/28/2026 697.00 C,OPR,1.16,1.17,1.16,1.17,158,109,158X109,1,1.85,0.83,0.0,0.81,79336,1769548498536,1769548500049,0.35,13.345,0.366,0.081,-1.165,0.131,0.006,5167,1.16,1.165,29.0,697.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,43.48,0.36,44.72,-1.51,2.67,SPY,A,4.87,0.3,True,False,False,False
34,CALL,SPY   260128C00698000,SPY 01/28/2026 698.00 C,OPR,0.77,0.78,0.77,0.78,332,230,332X230,1,1.33,0.55,0.0,0.53,34721,1769548499482,1769548499992,0.24,12.794,0.281,0.076,-0.775,0.118,0.005,2682,0.77,0.775,29.0,698.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,45.71,0.25,47.62,-2.51,3.28,SPY,A,4.57,0.23,True,False,False,False
35,CALL,SPY   260128C00699000,SPY 01/28/2026 699.00 C,OPR,0.47,0.48,0.48,0.48,193,239,193X239,1,0.92,0.34,0.0,0.33,26587,1769548497175,1769548499730,0.15,12.222,0.2,0.066,-0.475,0.098,0.003,2708,0.48,0.475,29.0,699.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,46.15,0.15,46.15,-3.51,3.99,SPY,A,3.92,0.17,True,False,False,False
36,CALL,SPY   260128C00700000,SPY 01/28/2026 700.00 C,OPR,0.26,0.27,0.27,0.27,360,130,360X130,1,0.59,0.19,0.0,0.19,35811,1769548499223,1769548500052,0.09,11.671,0.13,0.052,-0.265,0.074,0.002,8314,0.27,0.265,29.0,700.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,48.65,0.08,43.24,-4.51,4.78,SPY,A,3.61,0.12,True,False,False,False
37,CALL,SPY   260128C00701000,SPY 01/28/2026 701.00 C,OPR,0.13,0.14,0.14,0.14,726,90,726X90,1,0.36,0.12,0.0,0.1,21836,1769548497527,1769548499026,0.05,11.206,0.077,0.037,-0.135,0.051,0.001,1878,0.14,0.135,29.0,701.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,52.63,0.04,42.11,-5.51,5.65,SPY,A,3.11,0.07,True,False,False,False
38,CALL,SPY   260128C00702000,SPY 01/28/2026 702.00 C,OPR,0.07,0.08,0.07,0.08,181,679,181X679,5,0.21,0.07,0.0,0.05,12715,1769548495455,1769548499433,0.03,11.218,0.047,0.025,-0.075,0.035,0.001,3876,0.07,0.075,29.0,702.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,66.67,0.03,66.67,-6.51,6.58,SPY,A,2.6,0.04,True,False,False,False
39,PUT,SPY   260128P00690000,SPY 01/28/2026 690.00 P,OPR,0.56,0.57,0.57,0.56,247,351,247X351,1,1.24,0.47,0.0,1.54,28787,1769548499688,1769548499588,-0.96,16.827,-0.177,0.044,-0.565,0.091,-0.003,4892,0.57,0.565,29.0,690.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-62.54,-0.97,-63.19,-5.49,6.06,SPY,A,14.1,0.47,True,False,False,False
40,PUT,SPY   260128P00691000,SPY 01/28/2026 691.00 P,OPR,0.71,0.72,0.71,0.72,51,199,51X199,3,1.48,0.59,0.0,1.82,15033,1769548493200,1769548499617,-1.11,16.313,-0.218,0.052,-0.715,0.103,-0.004,2214,0.71,0.715,29.0,691.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-60.99,-1.1,-60.71,-4.49,5.2,SPY,A,14.79,0.59,True,False,False,False
41,PUT,SPY   260128P00692000,SPY 01/28/2026 692.00 P,OPR,0.89,0.91,0.9,0.9,213,199,213X199,1,1.79,0.73,0.0,2.15,20713,1769548498737,1769548499989,-1.25,15.764,-0.267,0.06,-0.9,0.115,-0.005,3735,0.9,0.9,29.0,692.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-58.0,-1.25,-58.24,-3.49,4.39,SPY,A,15.24,0.73,True,False,False,False
42,PUT,SPY   260128P00693000,SPY 01/28/2026 693.00 P,OPR,1.12,1.14,1.13,1.13,198,186,198X186,1,2.13,0.26,0.0,2.54,49094,1769548496390,1769548499617,-1.41,15.2,-0.325,0.068,-1.13,0.126,-0.006,3021,1.13,1.13,29.0,693.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-55.51,-1.41,-55.51,-2.49,3.62,SPY,A,16.57,0.26,True,False,False,False
43,PUT,SPY   260128P00694000,SPY 01/28/2026 694.00 P,OPR,1.41,1.43,1.41,1.42,123,185,123X185,1,2.54,1.14,0.0,3.03,56084,1769548499906,1769548499906,-1.62,14.661,-0.392,0.075,-1.42,0.134,-0.007,1897,1.41,1.42,29.0,694.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-53.48,-1.61,-53.12,-1.49,2.9,SPY,A,17.36,1.14,True,False,False,False
44,PUT,SPY   260128P00695000,SPY 01/28/2026 695.00 P,OPR,1.76,1.77,1.76,1.77,260,2,260X2,1,3.01,1.41,0.0,3.55,124067,1769548499688,1769548499589,-1.79,14.031,-0.467,0.081,-1.765,0.139,-0.008,646,1.76,1.765,29.0,695.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-50.44,-1.78,-50.26,-0.49,2.25,SPY,A,18.6,1.41,True,False,False,False
45,PUT,SPY   260128P00696000,SPY 01/28/2026 696.00 P,OPR,2.19,2.21,2.2,2.2,116,141,116X141,3,3.52,1.76,0.0,4.14,92858,1769548498079,1769548498432,-1.94,13.886,-0.549,0.082,-1.746,0.138,-0.01,120,1.69,2.256,29.0,696.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-46.84,-1.94,-46.88,0.51,1.69,SPY,A,18.34,1.76,True,True,False,False
46,PUT,SPY   260128P00697000,SPY 01/28/2026 697.00 P,OPR,2.69,2.75,2.7,2.72,52,56,52X56,2,4.14,2.18,0.0,4.81,29907,1769548496077,1769548498066,-2.11,13.345,-0.634,0.081,-1.266,0.131,-0.011,2585,1.19,2.776,29.0,697.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-43.88,-2.09,-43.44,1.51,1.19,SPY,A,19.95,2.18,True,True,False,False
47,PUT,SPY   260128P00698000,SPY 01/28/2026 698.00 P,OPR,3.29,3.36,3.33,3.33,50,52,50X52,30,4.87,2.7,0.0,5.55,7705,1769548488398,1769548500507,-2.22,12.794,-0.719,0.075,-0.877,0.118,-0.013,176,0.82,3.387,29.0,698.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-39.97,-2.23,-40.14,2.51,0.82,SPY,A,17.11,2.7,True,True,False,False
48,PUT,SPY   260128P00699000,SPY 01/28/2026 699.00 P,OPR,4.0,4.06,4.0,4.03,52,50,52X50,3,5.62,3.3,0.0,6.39,3001,1769548470667,1769548498468,-2.39,12.222,-0.8,0.066,-0.577,0.098,-0.014,38,0.49,4.087,29.0,699.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-37.42,-2.36,-36.91,3.51,0.49,SPY,A,19.0,3.3,True,True,False,False
49,PUT,SPY   260128P00700000,SPY 01/28/2026 700.00 P,OPR,4.8,4.85,4.81,4.82,50,3,50X3,4,6.3,4.03,0.0,7.29,5719,1769548438353,1769548499433,-2.48,11.671,-0.87,0.052,-0.367,0.074,-0.015,63,0.3,4.877,29.0,700.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-34.0,-2.47,-33.85,4.51,0.3,SPY,A,20.99,4.03,True,True,False,False
50,PUT,SPY   260128P00701000,SPY 01/28/2026 701.00 P,OPR,5.63,5.8,5.8,5.72,52,50,52X50,1,7.41,4.8,0.0,8.27,991,1769548477861,1769548493574,-2.47,11.206,-0.923,0.037,-0.237,0.05,-0.016,18,0.29,5.747,29.0,701.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-29.87,-2.55,-30.89,5.51,0.29,SPY,A,11.7,4.8,True,True,False,False
51,PUT,SPY   260128P00702000,SPY 01/28/2026 702.00 P,OPR,6.57,6.73,6.73,6.65,51,51,51X51,1,8.01,5.63,0.0,9.27,886,1769548477861,1769548491381,-2.54,11.218,-0.953,0.025,-0.177,0.034,-0.017,9,0.22,6.687,29.0,702.0,2026-01-28,1,W,1769648400000,100.0,P,100 SPY,-27.4,-2.62,-28.26,6.51,0.22,SPY,A,19.5,5.63,True,True,False,False
52,CALL,SPY   260129C00690000,SPY 01/29/2026 690.00 C,OPR,6.8,7.0,7.0,6.9,70,70,70X70,1,7.76,5.85,0.0,5.55,174,1769547769665,1769548498526,1.45,17.103,0.738,0.038,-0.755,0.164,0.024,1823,1.51,6.782,29.0,690.0,2026-01-29,2,W,1769734800000,100.0,P,100 SPY,26.13,1.35,24.35,5.49,1.51,SPY,A,10.36,1.87,True,True,False,False
53,CALL,SPY   260129C00691000,SPY 01/29/2026 691.00 C,OPR,6.06,6.18,6.37,6.12,50,50,50X50,4,6.9,5.19,0.0,4.85,303,1769547410226,1769548495224,1.52,16.637,0.704,0.042,-0.803,0.174,0.023,1206,1.88,5.986,29.0,691.0,2026-01-29,2,W,1769734800000,100.0,P,100 SPY,31.34,1.27,26.19,4.49,1.88,SPY,A,7.58,1.77,True,True,False,False
54,CALL,SPY   260129C00692000,SPY 01/29/2026 692.00 C,OPR,5.31,5.42,5.39,5.37,50,85,50X85,1,6.21,4.38,0.0,4.18,656,1769547979244,1769548495948,1.21,16.185,0.665,0.045,-0.846,0.184,0.022,1474,1.9,5.225,29.0,692.0,2026-01-29,2,W,1769734800000,100.0,P,100 SPY,28.91,1.18,28.2,3.49,1.9,SPY,A,7.1,1.42,True,True,False,False
55,CALL,SPY   260129C00693000,SPY 01/29/2026 693.00 C,OPR,4.58,4.69,4.67,4.64,50,50,50X50,1,5.41,3.75,0.0,3.56,787,1769548472421,1769548495227,1.11,15.725,0.622,0.048,-0.876,0.192,0.021,1795,2.18,4.499,29.0,693.0,2026-01-29,2,W,1769734800000,100.0,P,100 SPY,31.15,1.07,30.05,2.49,2.18,SPY,A,7.0,1.18,True,True,False,False
56,CALL,SPY   260129C00694000,SPY 01/29/2026 694.00 C,OPR,3.89,4.01,3.96,3.95,57,75,57X75,15,4.7,3.12,0.0,2.96,2967,1769548451168,1769548498786,1.0,15.282,0.575,0.051,-0.893,0.198,0.02,950,2.47,3.818,29.0,694.0,2026-01-29,2,W,1769734800000,100.0,P,100 SPY,33.84,1.0,33.67,1.49,2.47,SPY,A,6.38,0.96,True,True,False,False
57,CALL,SPY   260129C00695000,SPY 01/29/2026 695.00 C,OPR,3.3,3.32,3.32,3.31,139,50,139X50,1,4.04,2.59,0.0,2.43,9900,1769548487866,1769548500038,0.89,14.827,0.524,0.053,-0.889,0.201,0.018,1372,2.83,3.183,29.0,695.0,2026-01-29,2,W,1769734800000,100.0,P,100 SPY,36.61,0.88,36.15,0.49,2.83,SPY,A,6.96,0.74,True,True,False,False
58,CALL,SPY   260129C00696000,SPY 01/29/2026 696.00 C,OPR,2.72,2.74,2.72,2.73,178,146,178X146,2,3.38,2.1,0.0,1.96,12318,1769548490176,1769548499283,0.77,15.024,0.47,0.053,-0.903,0.201,0.017,1763,2.72,2.729,29.0,696.0,2026-01-29,2,W,1769734800000,100.0,P,100 SPY,39.39,0.78,39.64,-0.51,3.23,SPY,A,5.25,0.61,True,False,False,False
59,CALL,SPY   260129C00697000,SPY 01/29/2026 697.00 C,OPR,2.19,2.2,2.2,2.2,46,67,46X67,3,2.78,1.65,0.0,1.54,8542,1769548483351,1769548500049,0.67,14.543,0.416,0.053,-0.851,0.197,0.015,1076,2.2,2.194,29.0,697.0,2026-01-29,2,W,1769734800000,100.0,P,100 SPY,43.65,0.66,43.0,-1.51,3.71,SPY,A,4.16,0.48,True,False,False,False
60,CALL,SPY   260129C00698000,SPY 01/29/2026 698.00 C,OPR,1.71,1.72,1.72,1.72,97,72,97X72,13,2.25,1.26,0.0,1.17,5787,1769548483412,1769548500052,0.55,14.044,0.359,0.053,-0.775,0.188,0.013,2014,1.72,1.715,29.0,698.0,2026-01-29,2,W,1769734800000,100.0,P,100 SPY,47.21,0.55,47.21,-2.51,4.23,SPY,A,3.97,0.41,True,False,False,False
